Grid_Size,Field,Seed,h_star,EUC_success,EUC_time,EUC_h_max,EUC_gap,HE_success,HE_time,HE_h_max,HE_gap,DIJ_success,DIJ_time,DIJ_h_max,DIJ_gap,Speedup_Dijkstra_vs_HE,Speedup_Euclidean_vs_HE
128,mining,0,0.5859632095397812,True,0.34429690000251867,0.5859632095397812,0.0,True,0.031416699988767505,0.6032724664371878,0.029539835634051798,True,0.03092379998997785,0.5859632095397812,0.0,0.9843108920107496,10.959040896262689
128,mining,1,0.5854314056621653,True,0.32248830000753514,0.5854314056621653,0.0,True,0.011425000004237518,0.6405199591436431,0.09409907454344484,True,0.027874200022779405,0.5854314056621653,0.0,2.439754924502486,28.2265470361422
128,mining,2,0.5769814721980422,True,0.3144365999905858,0.5769814721980422,0.0,True,0.00773099999059923,0.6352998350019728,0.10107493154288594,True,0.029363399982685223,0.5769814721980422,0.0,3.7981373714125777,40.67217699818078
128,terrain,0,0.5237874585004858,True,0.3198322999814991,0.5237874585004858,0.0,True,0.00667909998446703,0.5237874585004858,0.0,True,0.03588010001112707,0.5237874585004858,0.0,5.371996241195689,47.88553857934508
128,terrain,1,0.5645324788131991,True,0.32517370002460666,0.5645324788131991,0.0,True,0.007187999988673255,0.5645324788131991,0.0,True,0.04491729999426752,0.5645324788131991,0.0,6.248928779221973,45.238411315666475
128,terrain,2,0.47234351427455046,True,0.3308446000155527,0.47234351427455046,0.0,True,0.007351300009759143,0.5149260337407564,0.09015159132989553,True,0.03464720002375543,0.47234351427455046,0.0,4.713071154457021,45.004910638437195
256,mining,0,0.6043184144336136,True,1.3254856999847107,0.6043184144336136,0.0,True,0.035202099999878556,0.6464617496367056,0.06973697010803497,True,0.19566029999987222,0.6043184144336136,0.0,5.558199652877165,37.65359737030698
256,mining,1,0.5904928765177235,True,1.3450978999899235,0.5904928765177235,0.0,True,0.035797799995634705,0.6156865376112973,0.042665478442596605,True,0.13893740001367405,0.5904928765177235,0.0,3.8811714694929997,37.574876114005576
256,mining,2,0.5842397592338543,True,1.384234600001946,0.5842397592338543,0.0,True,0.03538059999118559,0.591716254160683,0.0127969635901415,True,0.11773749999701977,0.5842397592338543,0.0,3.327741757526776,39.124113224388566
256,terrain,0,0.5203638213541266,True,1.3898520999937318,0.5203638213541266,0.0,True,0.03213859998504631,0.5506139652742952,0.05813268078754889,True,0.10446659999433905,0.5203638213541266,0.0,3.250502512335511,43.245570766629925
256,terrain,1,0.4766851943269662,True,1.3468723999976646,0.4766851943269662,0.0,True,0.03200259999721311,0.4766851943269662,0.0,True,0.16997740001534112,0.4766851943269662,0.0,5.311362202763004,42.08634298822454
256,terrain,2,0.5069844905055052,True,1.3591341999999713,0.5069844905055052,0.0,True,0.030189699988113716,0.5081918312141823,0.002381415469876209,True,0.1661094999872148,0.5069844905055052,0.0,5.502191146404748,45.019798160799525
